2015-10-06T14:03:12.413+0200 I NETWORK  [conn33] end connection 127.0.0.1:60439 (7 connections now open)
2015-10-06T14:03:15.567+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60441 #34 (6 connections now open)
2015-10-06T14:03:15.582+0200 I NETWORK  [conn34] end connection 127.0.0.1:60441 (5 connections now open)
2015-10-06T14:03:15.589+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60442 #35 (6 connections now open)
2015-10-06T14:03:15.589+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60443 #36 (7 connections now open)
2015-10-06T14:03:15.590+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60444 #37 (8 connections now open)
2015-10-06T14:03:15.590+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60445 #38 (9 connections now open)
2015-10-06T14:03:15.591+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60446 #39 (10 connections now open)
2015-10-06T14:03:15.601+0200 I NETWORK  [conn35] end connection 127.0.0.1:60442 (9 connections now open)
2015-10-06T14:03:15.601+0200 I NETWORK  [conn36] end connection 127.0.0.1:60443 (9 connections now open)
2015-10-06T14:03:15.601+0200 I NETWORK  [conn37] end connection 127.0.0.1:60444 (9 connections now open)
2015-10-06T14:03:15.601+0200 I NETWORK  [conn38] end connection 127.0.0.1:60445 (6 connections now open)
2015-10-06T14:03:15.601+0200 I NETWORK  [conn39] end connection 127.0.0.1:60446 (6 connections now open)
2015-10-06T14:03:41.377+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60448 #40 (6 connections now open)
2015-10-06T14:03:41.391+0200 I NETWORK  [conn40] end connection 127.0.0.1:60448 (5 connections now open)
2015-10-06T14:03:41.397+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60449 #41 (6 connections now open)
2015-10-06T14:03:41.398+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60450 #42 (7 connections now open)
2015-10-06T14:03:41.398+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60451 #43 (8 connections now open)
2015-10-06T14:03:41.399+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60452 #44 (9 connections now open)
2015-10-06T14:03:41.400+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60453 #45 (10 connections now open)
2015-10-06T14:03:41.404+0200 I NETWORK  [conn41] end connection 127.0.0.1:60449 (9 connections now open)
2015-10-06T14:03:41.404+0200 I NETWORK  [conn42] end connection 127.0.0.1:60450 (8 connections now open)
2015-10-06T14:03:41.404+0200 I NETWORK  [conn43] end connection 127.0.0.1:60451 (8 connections now open)
2015-10-06T14:03:41.404+0200 I NETWORK  [conn44] end connection 127.0.0.1:60452 (8 connections now open)
2015-10-06T14:03:41.404+0200 I NETWORK  [conn45] end connection 127.0.0.1:60453 (6 connections now open)
2015-10-06T14:03:46.698+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60454 #46 (6 connections now open)
2015-10-06T14:03:46.714+0200 I NETWORK  [conn46] end connection 127.0.0.1:60454 (5 connections now open)
2015-10-06T14:03:46.720+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60455 #47 (6 connections now open)
2015-10-06T14:03:46.721+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60456 #48 (7 connections now open)
2015-10-06T14:03:46.721+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60457 #49 (8 connections now open)
2015-10-06T14:03:46.722+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60458 #50 (9 connections now open)
2015-10-06T14:03:46.723+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60459 #51 (10 connections now open)
2015-10-06T14:03:46.727+0200 I NETWORK  [conn47] end connection 127.0.0.1:60455 (9 connections now open)
2015-10-06T14:03:46.727+0200 I NETWORK  [conn48] end connection 127.0.0.1:60456 (9 connections now open)
2015-10-06T14:03:46.727+0200 I NETWORK  [conn49] end connection 127.0.0.1:60457 (8 connections now open)
2015-10-06T14:03:46.728+0200 I NETWORK  [conn50] end connection 127.0.0.1:60458 (7 connections now open)
2015-10-06T14:03:46.728+0200 I NETWORK  [conn51] end connection 127.0.0.1:60459 (5 connections now open)
2015-10-06T14:03:50.435+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60460 #52 (6 connections now open)
2015-10-06T14:03:50.450+0200 I NETWORK  [conn52] end connection 127.0.0.1:60460 (5 connections now open)
2015-10-06T14:03:50.457+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60461 #53 (6 connections now open)
2015-10-06T14:03:50.458+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60462 #54 (7 connections now open)
2015-10-06T14:03:50.459+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60463 #55 (8 connections now open)
2015-10-06T14:03:50.460+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60464 #56 (9 connections now open)
2015-10-06T14:03:50.460+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60465 #57 (10 connections now open)
2015-10-06T14:03:50.464+0200 I NETWORK  [conn53] end connection 127.0.0.1:60461 (9 connections now open)
2015-10-06T14:03:50.464+0200 I NETWORK  [conn54] end connection 127.0.0.1:60462 (9 connections now open)
2015-10-06T14:03:50.464+0200 I NETWORK  [conn55] end connection 127.0.0.1:60463 (8 connections now open)
2015-10-06T14:03:50.464+0200 I NETWORK  [conn56] end connection 127.0.0.1:60464 (7 connections now open)
2015-10-06T14:03:50.464+0200 I NETWORK  [conn57] end connection 127.0.0.1:60465 (7 connections now open)
2015-10-06T14:04:01.004+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60466 #58 (6 connections now open)
2015-10-06T14:04:01.018+0200 I NETWORK  [conn58] end connection 127.0.0.1:60466 (5 connections now open)
